127.0.0.1 - - [06/Mar/2026:13:13:48 -0800] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:13:48 -0800] "GET /HolidayCalendar/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:13:48 -0800] "GET /HolidayCalendar/assets/styles/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:13:50 -0800] "GET /HolidayCalendar/HolidayCalendar HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:13:53 -0800] "GET /HolidayCalendar/AddHoliday HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:14:23 -0800] "GET /HolidayCalendar/HolidayCalendar HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:14:26 -0800] "GET /HolidayCalendar/UpdateHoliday?id=5 HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:14:31 -0800] "GET /HolidayCalendar/HolidayCalendar HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:16:46 -0800] "GET /HolidayCalendar/HolidayCalendar HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:16:47 -0800] "GET /HolidayCalendar/AddHoliday HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:17:58 -0800] "GET /HolidayCalendar/AddHoliday HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:18:01 -0800] "GET /HolidayCalendar/AddHoliday HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:18:28 -0800] "GET /HolidayCalendar/AddHoliday HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:20:45 -0800] "GET /HolidayCalendar/HolidayCalendar HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:20:46 -0800] "GET /HolidayCalendar/UpdateHoliday?id=1 HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:20:49 -0800] "GET /HolidayCalendar/UpdateHoliday?id=1 HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:20:57 -0800] "GET /HolidayCalendar/HolidayCalendar HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:22:31 -0800] "GET /HolidayCalendar/AddHoliday HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:22:41 -0800] "GET /HolidayCalendar/HolidayCalendar HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:22:43 -0800] "GET /HolidayCalendar/UpdateHoliday?id=3 HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [06/Mar/2026:13:22:54 -0800] "GET /HolidayCalendar/HolidayCalendar HTTP/1.1" 200 1960
